date,date_japanese_era,seq,municipality_class,ward_jp,park_class_jp,park_count,park_area_m2,tokyo_ward,municipality_class_en,park_class_en
2016-04-01,H28.4.1,7,市部,昭島市,国営,,616000.0,,city ​​area,National government
2016-04-01,H28.4.1,2,区部,中央区,海上,1.0,24513.27,Chuo,Ward area,sea
2016-04-01,H28.4.1,3,区部,港区,海上,3.0,541118.77,Minato,Ward area,sea
2016-04-01,H28.4.1,8,区部,江東区,海上,17.0,1969159.62,Koto,Ward area,sea
2016-04-01,H28.4.1,9,区部,品川区,海上,6.0,508514.53,Shinagawa,Ward area,sea
2016-04-01,H28.4.1,11,区部,大田区,海上,10.0,725312.79,Ota,Ward area,sea
2016-04-01,H28.4.1,23,区部,江戸川区,海上,1.0,4117473.01,Edogawa,Ward area,sea
2017-04-01,H29.4.1,1,区部,千代田区,都立,1.0,161636.66,Chiyoda,Ward area,Metropolitan
2017-04-01,H29.4.1,2,区部,中央区,都立,1.0,250215.72,Chuo,Ward area,Metropolitan
2017-04-01,H29.4.1,3,区部,港区,都立,4.0,235658.05,Minato,Ward area,Metropolitan
2017-04-01,H29.4.1,4,区部,新宿区,都立,1.0,186471.81,Shinjuku,Ward area,Metropolitan
2017-04-01,H29.4.1,5,区部,文京区,都立,2.0,158656.58,Bunkyo,Ward area,Metropolitan
2017-04-01,H29.4.1,6,区部,台東区,都立,2.0,556742.43,Taito,Ward area,Metropolitan
2017-04-01,H29.4.1,7,区部,墨田区,都立,3.0,133593.01,Sumida,Ward area,Metropolitan
2017-04-01,H29.4.1,8,区部,江東区,都立,6.0,1139436.5,Koto,Ward area,Metropolitan
2017-04-01,H29.4.1,9,区部,品川区,都立,2.0,217553.78,Shinagawa,Ward area,Metropolitan
2017-04-01,H29.4.1,10,区部,目黒区,都立,0.0,114276.0,Meguro,Ward area,Metropolitan
2017-04-01,H29.4.1,12,区部,世田谷区,都立,4.0,920915.55,Setagaya,Ward area,Metropolitan
2017-04-01,H29.4.1,13,区部,渋谷区,都立,2.0,568910.03,Shibuya,Ward area,Metropolitan
2017-04-01,H29.4.1,15,区部,杉並区,都立,3.0,521318.59,Suginami,Ward area,Metropolitan
2017-04-01,H29.4.1,17,区部,北区,都立,1.0,71647.37,Kita,Ward area,Metropolitan
2017-04-01,H29.4.1,18,区部,荒川区,都立,2.0,191211.11,Arakawa,Ward area,Metropolitan
